Page,Nama Produk Raw,Deskripsi Produk Raw,Link Produk,URL Foto Produk Raw,Link Aff
Nutriblend,Nutrifarm Organic Premium Matcha,"Matcha diproses dengan menutup daun teh selama 20 sampai 30 hari sebelum dipanen agar terhindar dari sinar matahari. Hal ini membuat warna daun menjadi lebih gelap, karena meningkatnya asam amino yang ada di klorofil daun. minum secangkir matcha bisa sama dengan mengonsumsi tiga cangkir teh hijau. Antioksidan matcha lebih tinggi dibanding beberapa jenis sayuran. Matcha mengandung kafein, polifenol, dan antioksidan lebih tinggi (termasuk EGCG) dan L-Theanine lebih banyak daripada rata-rata teh hijau. Oleh karena itu, para peneliti mengatakan bahwa matcha memiliki kemampuan membakar lemak lebih tinggi, mencegah kanker, menjernihkan pikiran, meningkatkan konsentrasi, menangkal radikal bebas dan memperbaiki sel tubuh. Manfaat Matcha : 1.Melawan Radikal Bebas 2.Menurunkan Risiko Kanker 3.Memelihara Kesehatan Hati 4.Meningkatkan Kemampuan Kognitif dan Konsentrasi 5.Menurunkan Risiko Diabetes Tipe 2 6. Meningkatkan fungsi otak 7. Melindungi jantung 8. Membantu program penurunan berat badan In A Plastic Jar. Kami akan mengemas paket anda dengan bubble wrap secara gratis sehingga paket anda aman dan kualitas terjaga sampai ke tujuan anda. Disimpan disuhu ruangan dan hindari sinar matahari langsung. Izin Dinkes P-IRT 6103172201028-28 Nomor Halal : ID36110022138220525 Berat Produk : 270 gram dan 440 gram",https://shopee.co.id/product/815740902/20152714784,https://drive.google.com/file/d/1yeHLKpaU5CbI-ssx3E5tNP9QzzmmxKqg/view?usp=drive_link,https://s.shopee.co.id/5AqSaRGK9I
Nutriblend,Kunyit Kuning Bubuk dari Naturlife Indonesia,"Pure (Tumeric) Kunyit Bubuk Saran Penyajian:1 2 sdm Kunyit Bubuk dicampur air hangat 1 gelas 200ml, aduk hingga rata lalu diminum | Dapat ditambahkan dengan gula murni, gula batu, madu maupun sari jeruk nipis | Dapat disajikan sebagai bahan penyedap makanan alami Saran Penyimpanan:Simpan disuhu ruang dan hindarkan dari sinar matahari Izin dinkes SP PIRT:2103271051262 29",https://shopee.co.id/product/1858791510/41931852425,https://drive.google.com/file/d/1oQoIk3BfLNedsXU5grzJ2QILT1QbfVxV/view?usp=sharing,https://s.shopee.co.id/5LAM4WG3Qi
Nutriblend,Bumi Organic Kunyit Bubuk,"Pure (Tumeric) Kunyit BubukKunyit (Tumeric) Bubuk by Naturlife dibuat dari 100% akar kunyit asli yang diolah menjadi bubuk, tanpa campuran apapun. Praktis digunakan sebagai minuman herbal dan bahan penyedap makanan alami yang memiliki kandungan senyawa aktif kurkumin yang memiliki sifat antiinflamasi dan antioksidan.100% Kunyit Asli | Tanpa pewarna buatan | Tanpa pengawetManfaat Kunyit Bubuk dari Naturlife:1. Meningkatkan kinerja otak2. Meredakan peradangan (radang tenggorokan hingga peradangan usus besar)3. Mengobati maag4. Mengatasi perut kembung5. Mengurangi rasa mual6. Meredakan nyeri haid7. Menurunkan berat badan8. Mengendalikan gula darah dan mencegah diabetesSaran Penyajian:1-2 sdm Kunyit Bubuk dicampur air hangat 1 gelas ±200ml, aduk hingga rata lalu diminum | Dapat ditambahkan dengan gula murni, gula batu, madu maupun sari jeruk nipis | Dapat disajikan sebagai bahan penyedap makanan alamiSaran Penyimpanan:Simpan disuhu ruang dan hindarkan dari sinar matahariIzin dinkes SP-PIRT:2103271051262-29",https://shopee.co.id/product/949762424/28005242377,https://drive.google.com/file/d/1jUB8L9_vipVly5LnxkuUIdK6Bw2YwUZu/view?usp=sharing,https://s.shopee.co.id/7prSIRn46W
Nutriblend,Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Slimming Tea Promo Beli 1 Free 1,"Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Cepat Herbal Slimming Teateh yang terbuat dari 100% daun jati cina tanpa campuran yang efektif melancarkan pencernaan,,ANDA PUNYA KELUHAN SEPERTI INI ?? :- Berat badan berlebih ?- Usus kotor ? -Sering sembelit?_perut terasa beratATASI DENGAN TEH DAUN SENNA..KARENA BISA BUAT: ..Lemak Luntur .. Pencernaan lebih lancar ..Rasa Percaya Diri semakin meningkat Keunggulan Teh Daun Sena ◦ Tidak membuat ketergantungan◦Tidak memiliki efek sampingKHASIAT DAUN SENNA1. Menurunkan berat badan dan mengecilkan perut 2. Mengatasi konstipasi atau sembelit 3. Mengatasi ambeyen dan mengurangi resiko wasir 4. Sumber Antioksidan 5.membersihkan ususBerijin resmi dinkes RI SPP-IRT 3083314020443-291 bungkus teh isi 10 dan isi 20 pcs tea bag Saran Penyajian:untuk hasil maximal sebagai Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Cepat Herbal Slimming Tea ambil 1 sdm/1 tea bag ke dalam 200ml air panas, tunggu hingga hangat lalu tambahkan madu. Aturan Konsumsi: Konsumsi 1 x sehari setelah makan. Cukup 2-3 kali dalam seminggu. APABILA ADA KENDALA SILAHKAN CHAT DAHULU SEBELUM MEMBERIKAN PENILAIAN, APABILA ADA KESALAHAN MURNI DARI KAMI. KAMI PASTI TANGGUNG JAWAB",https://shopee.co.id/product/1391670893/28429862735,https://drive.google.com/file/d/1BIISSMFme9Fh1BypNIPqymgDWDydWPWV/view?usp=sharing,https://s.shopee.co.id/9AN4h9CyiT
Nutriblend,Borosilicate  Teko Kaca,"Teko Kaca TEAPOT / Gelas Saringan Rempah / Anti Panas / Bisa di Masak / Teapot Tutup KayuTEKO KACA TUTUP KAYU : Bahan: Kaca borosilikatKapasitas: 1 literUkuran 13 x 13 x 12.5 cmTebal Kaca: Sekitar 2 mmTutup : Bahan KayuTEAPOT GELAS SARINGAN REMPAH/ TEA : Bahan : Kaca Borosilikat kapasitas : 420 MLUkuran : 9,5 x 8,5 x 8 Cm Tabal Kaca : Sekitar 2 mmTutup : Bahan KayuKACA BOROSILIKAT dikenal karena ketahanannya terhadap perubahan suhu ekstrem, sehingga aman digunakan untuk air panas dan dingin.ANTI PANAS : Dirancang untuk tahan panas, sehingga aman digunakan untuk menyeduh teh panas dan Di masak juga.TUTUP KAYU: Menambahkan sentuhan alami dan estetis pada teko teh, serta membantu menjaga suhu teh tetap stabil.INFUSER : Dilengkapi dengan infuser untuk menyaring daun teh, memungkinkan penyeduhan teh yang lebih bersih dan bebas ampas.BISA DI MASAK: Teko ini aman digunakan untuk memasak, memungkinkan Anda untuk merebus air langsung di atas kompor.NOTED : 1. SEBELUM PENGIRIMAN KITA CEK TERLEBIH DAHULU, JADI TIDAK MENERIMA KOMPLAIN.2. MOHON TAMBAHAKAN PEMBELIAN WRAP PACKING UNTUK EXTRA PACKING AGAR BARANG LEBIH AMAN SAAT PENGIRIMAN.3. APABILA STOK SEDANG KOSONG & COSTOMER SUSAH DIHUBUNGI KAMI KASIH ACAK/RANDOM.",https://shopee.co.id/product/234272684/28205515740,https://drive.google.com/file/d/1ih8if3gRrYud9QEcvIxqZBZMp5Je3dnv/view?usp=sharing,https://s.shopee.co.id/3LPHkdqxoe
Nutriblend,Nutrifarm Madu Hutan,"BERAT BERSIH MADU 736gr (DALAM BOTOL 500ml)ML dan GR berbeda ya kak. Yang tertera pada botol kemasan adalah 500ml. Tolong untuk tidak komplain mengenai tulisan 500ml pada kemasan.1. Apakah madu kami asli?Toko kami diperuntukan untuk kesehatan, jadi tidak mungkin kami menjual madu palsu.2. Madu manis dan bau seperti gulaSemua madu pasti mengandung gula. madu kami adalah madu hutan, dimana lebah hutan kebanyakan memproduksi madu dari nektar pelepah. Berbeda dengan lebah ternak yang bisa diatur lebahnya.3. Madu mengendap / mengkristalkristalisasi merupakan proses yang alami pada madu. Makin rendah kandungan air, makin cepat terjadi pengkristalan.4. Semut tidak suka madumitos ya kak, madu megandung gula. Dan semut suka gula :)Silahkan baca:https://www.kompas.com/food/read/2021/07/24/124000475/madu-asli-tidak-mengkristal-dan-4-mitos-madu-asli-lain-yang-banyak?page=allMadu Hutan kami dikumpulkan dari hutan yang alami dan beragam, memberikan madu dengan rasa kompleks dan karakteristik unik. Rasanya yang kaya dan aroma yang bervariasi akan menghadirkan petualangan cita rasa. Madu kemungkinan mengeluarkan gas apabila dalam perjalanan terguncang-guncang, hal ini dikarenakan madu raw asli mengeluarkan gas. Harap membuka seal pelan-pelan dan botol kemungkinan mengembung.Madu Hutan memiliki manfaat antara lain :1. Dengan antioksidan tinggi sehingga baik untuk kesehatan dan kekebalan tubuh2. Menambah stamina dan otot3. Baik untuk diet dan kolesterol4. Mencegah penyakit kanker, penyakit jantung dan juga tumor.5. Mempercepat penyembuhkan luka6. Meredakan batuk dan sakit tenggorokan7. Memelihara kesehatan pencernaan8.Memelihara kesehatan tulang dan OtakServing suggestion :1 sendok makan setiap pagi sebelum beraktivitas dan 1 sendok makan pada malam hari sebelum beristirahat. Simpan di suhu ruangan",https://shopee.co.id/product/815740902/21552697700,https://drive.google.com/file/d/1EZR9EjgeWehUsZRvkaL2Hw_hvi3WqfkR/view?usp=sharing,https://s.shopee.co.id/5LAM8YHhkV
Nutriblend,Lada Hitam Bubuk / Black Pepper Powder Premium Dailyone,"Dailyone Lada Hitam Bubuk (Black Pepper Powder)Lada hitam (Piper nigrum) adalah rempah-rempah yang diperoleh dari buah lada yang masih hijau dan kemudian dikeringkan. Lada hitam memiliki rasa pedas kuat yang khas dan telah digunakan selama ribuan tahun sebagai bumbu masakan sekaligus obat tradisional.Dailyone Lada Hitam Bubuk merupakan bubuk lada hitam murni yang diolah tanpa campuran bahan lain atau pengawet.- Terbuat dari 100% lada hitam asli dan alami - Tanpa menggunakan bahan pengawet - Berat bersih 50 gram (ukuran kecil) - Berat bersih 250 gram (ukuran besar) - Bubuk halus, mudah digunakan dan larut dalam masakan - Dapat tahan sampai dengan 1 tahun Manfaat lada hitam: 1. Meningkatkan nafsu makan 2. Memperlancar pencernaan 3. Membantu penyerapan nutrisi 4. Bersifat antioksidan dan anti-inflamasi 5. Menurunkan risiko tekanan darah tinggi 6. Mengurangi nyeri sendi dan peradangan 7. Meningkatkan metabolisme tubuh 8. Membantu meredakan batuk dan pilek 9. Menyehatkan sistem pernapasan Cara Penyimpanan: - Simpan di suhu ruangan - Hindari dari paparan sinar matahari langsung Cara Penggunaan: - Dapat digunakan sebagai bumbu pada berbagai masakan seperti sup, tumisan, atau daging - Bisa ditambahkan ke dalam minuman hangat seperti susu atau teh rempah - Bisa diracik bersama bahan rempah lainnya untuk ramuan herbal - Cocok untuk masakan tradisional maupun modern",https://shopee.co.id/product/530156104/44001943852,https://drive.google.com/file/d/1LUJQ7ozIWduBnyJMFgX0LSywIAP5Vvwd/view?usp=sharing,https://s.shopee.co.id/3qLYLxmO0K
Nutriblend,Madu murni Multiflora Madu Randu Madu Kaliandra Madu Hutan Madu Asli Hutan Madu hitam pahit ,"madu alami dengan kwalitas terbaik dari alam.Ciri-ciri madu asli adalah madunya bergas berbusa Hal ini karena madu tersebut masih memiliki kandungan enzim diastase.Nah, enzim inilah yang membuat madu dapat mengeluarkan gas dan busa.Enzim diastase merupakan enzim yang ditambahkan lebah pada saat pematangan madu.Enzim ini hanya terdapat pada madu yang baru dipanen atau madu yang tanpa pengolahan (raw honey).Aktivitas enzim diastase dapat dijadikan indikator perlakuan panas pada madu.Enzim merupakan protein, dan hanya aktif pada keadaan tertentu.Dari segi khasiat, madu murni yang mengeluarkan gas berarti masih memiliki kandungan enzim dan vitamin yang baik untuk tubuh.Baik di gunakan sebelum dan sesudah bangun tidur.lihat khasiatnya nanti kalo sudah habis 1 botol.masih banyak khasiat lagi yang lainnya.salah satunya mencegah coron4Untuk khasiat dan manfaat madu asli adalah sebagai berikut :1. Membantu meningkatkan kekebalan tubuh.2. Menambah nafsu makan dan kecerdasan otak bagi anak-anak dan dewasa.3. Membantu mengatasi berbagai macam penyakit.4. Menguatkan kinerja jantung dan ginjal.5. Mengoptimalkan sistem organ tubuh.6. Membantu memulihkan stamina saat lelah.7. Menguatkan kinerja otak.8. Meningkatkan penyerapan kalsium.9. Menjaga kesehatan lambung dan pencernaan sumber energi.10. Mengatasi 3L : letih, lesu, loyo11. Membantu menurunkan kolesterol dan anti bakteri serta anti mikroba.12. mencegah coron413.dllnetto 1000 gr",https://shopee.co.id/product/95212523/11916663831,https://drive.google.com/file/d/1jNMXlSjEeWHA5dr8rxeLn8E6TjAcQOV8/view?usp=sharing,https://s.shopee.co.id/BSFzWjjVM
Nutriblend,NEZAFIT Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Herbal Slimming Tea,"Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Herbal Slimming Teateh yang terbuat dari 100% daun jati cina tanpa campuran yang efektif melancarkan pencernaan,,ANDA PUNYA KELUHAN SEPERTI INI ?? - Berat badan berlebih ?- Usus kotor ? -Sering sembelit?_perut terasa beratATASI DENGAN TEH DAUN SENNA..KARENA BISA BUAT: ..Lemak Luntur .. Pencernaan lebih lancar ..Rasa Percaya Diri semakin meningkat Keunggulan Teh Daun Sena Tidak membuat ketergantungan Tidak memiliki efek sampingKHASIAT DAUN SENNA1. Menurunkan berat badan dan mengecilkan perut 2. Mengatasi konstipasi atau sembelit 3. Mengatasi ambeyen dan mengurangi resiko wasir 4. Sumber Antioksidan 5.membersihkan ususBerijin resmi dinkes RI SPP-IRT 3083314020443-291 bungkus teh isi 10 dan isi 20 pcs tea bag Saran Penyajian:untuk hasil maximal sebagai Teh Diet Detox Daun Jati China Pelangsing Penurun Berat Badan Ampuh Herbal Slimming Teaambil 1 sdm/1 tea bag ke dalam 200ml air panas, tunggu hingga hangat lalu tambahkan madu. Aturan Konsumsi: Konsumsi 1 x sehari setelah makan. Cukup 2-3 kali dalam seminggu.",https://shopee.co.id/product/1462241393/28029137010,https://drive.google.com/file/d/1ecIkH3P1-DfKdd8_xvfgAjcRdUzJn0OQ/view?usp=sharing,https://s.shopee.co.id/BSFzkaQyu
Nutriblend,JAHE MERAH BUBUK ASLI 100% TANPA CAMPURAN ORIGINAL SERBUK JAHE,"Jahe bubuk merah dari Bumi Organik terbuat dari 100% jahe merah asli yang diolah menjadi bubuk tanpa campuran dan pengawet. Memiliki rasa pedas bersensasi hangat dengan aroma yang kuat100% Jahe Merah Murni | Tanpa pewarna buatan | Tanpa pengawetkandungan vitamin dan senyawa dalam jahe merah : Vitamin A Vitamin B1 (tiamin) Vitamin B3 (niasin) Vitamin C Enzim proteolitik Zingibain Minyak atsiri Oleorosin Gingerol FenolikManfaat Jahe merah bubuk instan :1. Bantu Meredakan Batuk dan Sakit Tenggorokan2. Kurangi Kadar Kolesterol dalam Tubuh3. Ringankan Sakit Kepala4. Bantu Mengatasi Rematik5. Konsumsi Rutin, Cocok dijadikan Diet Sehat6. Bantu Tingkatkan sistem kekebalan / imun tubuh7. Membantu Terhindar Terhadap Risiko Penyakit Jantung8. Solusi Jaga Kesehatan Lambung dan Pencernaan9. Mengurangi Risiko Terkena Radang Usus10. Sahabat Terbaik bagi Penderita Asma atau Sesak NapasSaran Penyajian1-2 sdm Jahe Merah Bubuk dicampur air panas 1 gelas ±200ml, aduk hingga rata lalu diminum | Dapat ditambahkan dengan gula murni, gula batu maupun madu dan dapat disajikan secara dingin dengan tambahan es batuSaran Penyimpanan:Simpan disuhu ruang dan hindarkan dari sinar matahariIzin dinkes SP PIRT: 2103271051379-29",https://shopee.co.id/product/1033744783/29958591283,https://drive.google.com/file/d/1AaL6a1JW8KJrnBgXBpxCqutX7MbuVTQ4/view?usp=sharing,https://s.shopee.co.id/AUsSIsL1F6
